Model,Scaler,Parameters,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3330749354005168,0.3000925903364928,0.31570573784306977
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3362213102295182,0.3224025137847481,0.32257947208544824
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.38074734570954594,0.41625207375400847,0.37843005555888026
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3735959514921283,0.5294690839796637,0.3825388962279825
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3775330483070421,0.30971520305082656,0.3228156327294782
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.38665784388010604,0.4297229377763543,0.3775543144851664
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3372322964273428,0.30619789071538805,0.32089511876045784
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.39160050148170245,0.4331749744762424,0.38430187195533805
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3704152538208265,0.3056342130278658,0.30793701050440575
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3900673480326443,0.42107047497346783,0.3800208243208135
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3804403164774681,0.3089643711115536,0.3193922403311919
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3900673480326443,0.42107047497346783,0.3800208243208135
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3364797081623347,0.3669190943131893,0.3229704830017672
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3449047836188739,0.42282175437448544,0.3388026347599778
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.33308270676691726,0.30009908790396594,0.3157094485583867
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30011614401858305,0.3158348078196843
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.33949874686716786,0.32252157934054193,0.32595619697904815
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.33949874686716786,0.32252157934054193,0.32595619697904815
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3436925647451963,0.38382321088948684,0.3335465924555111
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3556679577732209,0.41199586711079955,0.35006503954290713
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3556679577732209,0.41199586711079955,0.35006503954290713
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3386795991346355,0.3502460741061613,0.32907429554092527
