Step,Selected_Feature,Recall,Precision,F1_Score
1,CCI,0.35109826748264883,0.34551006464475037,0.34447195203271597
2,month,0.41773732108924805,0.5071574854868945,0.43586696990811624
3,day_of_week,0.4450527357474619,0.5239988078410668,0.46398790081717173
4,year,0.43856779911546645,0.48807788741662855,0.4468559116200447
5,MACD,0.45498605274974435,0.4957086622249537,0.45071929769536767
6,MACD_Signal,0.4364628572539323,0.5271531786262444,0.44586760994812524
7,Stochastic_K,0.43562162895327194,0.5178686125374345,0.44453262682457
8,Williams_R,0.43562162895327194,0.5178686125374345,0.44453262682457
9,day,0.43304634175830936,0.49854733132059603,0.4415465918287964
10,RSI,0.39713605322631695,0.4630911459836634,0.4113628889123319
