Model,Scaler,Parameters,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.33655677655677657,0.3353884547192373,0.3245478540257582
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30197444831591175,0.31687010499091406
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3421162171162171,0.3411263060982054,0.3328115133214219
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.33939393939393936,0.36885553470919324,0.3280973685521159
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.38422552074174793,0.47625865272672013,0.38411355538087394
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3330779054916985,0.30195333122162393,0.31674244560572523
