Step,Selected_Feature,Recall,Precision,F1_Score
1,CCI,0.3917197902147612,0.47889825051961665,0.40164424276274024
2,WMA,0.4588126500423688,0.49756916424412595,0.4376717649326417
3,Stochastic_K,0.48471516141804666,0.5201905415872536,0.4718646317925458
4,Williams_R,0.48471516141804666,0.5201905415872536,0.4718646317925458
5,MACD_Signal,0.48243397149718276,0.5296495405142245,0.4578679796836802
6,month,0.4984403867510835,0.5100308560405564,0.47179506029807133
7,Momentum,0.49204969630048556,0.5158375249087774,0.47318610803977246
8,Stochastic_D,0.4766079418953658,0.4820410702685132,0.4557891397568601
9,MACD,0.48723112044454087,0.48017412116758396,0.46922925627901313
10,SMA,0.48846179752427465,0.4942798550551327,0.46785982297906975
