Model,Scaler,Parameters,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.33578754578754577,0.30911994700142975,0.32162893338594245
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.331799709724238,0.30231089244396303,0.31635949601166546
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3474773654018937,0.33807265524058594,0.3388064492229004
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3430036630036629,0.31221957332355277,0.32652388259276377
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3841385047992492,0.36685895797063883,0.36747772604122914
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3430036630036629,0.31221957332355277,0.32652388259276377
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.37875089629880027,0.3543880981564139,0.35700264577074464
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3413553113553113,0.30799567137008754,0.3203616744794492
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3993217737568372,0.368618326972261,0.3684485237064728
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.33838827838827834,0.30738739361870754,0.32009165914383136
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.39881379117338295,0.3640210998273653,0.36714112134902643
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3395604395604395,0.3073324369845532,0.3185324335214245
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3921519624360825,0.3554260361821452,0.35972652868806004
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.34032967032967026,0.3074423844224199,0.31921503113513267
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.3924083726924928,0.35554837916076565,0.3600216739998535
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3366763425253991,0.3191727408094772,0.32419236551857733
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,No Scaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3333333333333333,0.30243902439024384,0.3171278286637231
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.3351397258004702,0.3190416074882517,0.32342074880334454
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.341062271062271,0.31753041237161256,0.3280474043855365
Logistic Regression,No Scaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.3378388278388278,0.3359622633820323,0.3254490861202975
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.34921487676278073,0.39187567997934897,0.34722256362263126
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.344029304029304,0.3145495813501552,0.3285418566731573
Logistic Regression,No Scaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.34249084249084244,0.31134584750703514,0.3256313515147626
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.34921487676278073,0.39187567997934897,0.34722256362263126
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.34249084249084244,0.31134584750703514,0.3256313515147626
Logistic Regression,No Scaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.34921487676278073,0.39187567997934897,0.34722256362263126
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.34736263736263734,0.3778583840909292,0.3348492178778611
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.3468498168498168,0.37717233985526666,0.33404487870691574
Logistic Regression,No Scaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.34736263736263734,0.3778583840909292,0.3348492178778611
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.34633699633699633,0.37657717274847163,0.333288517950555
Logistic Regression,No Scaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.344452972000876,0.3749951613884327,0.3396991771548808
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.36224295979086374,0.3991613756303416,0.3643493708442429
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.3804384121372595,0.39614477999109554,0.3767949519359804
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.3839152725012794,0.39098576044047356,0.37822680873369585
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.3833994588726253,0.3902831570731663,0.3774299614730535
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.3754682478278396,0.3955383006001962,0.3772941357927022
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.38417951380288945,0.3983994560870261,0.37987988268637063
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.3833994588726253,0.3902831570731663,0.3774299614730535
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 200, 'classifier__subsample': 1.0}",0.3827981751585011,0.3833231094924743,0.3720173356375262
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.6}",0.37931140855815987,0.39469989461124094,0.3791153061685685
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.8}",0.3834121278471913,0.396959141792741,0.3783904313936693
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 0.9}",0.3875020229751894,0.39075536841494285,0.37847705896104583
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 3, 'classifier__n_estimators': 300, 'classifier__subsample': 1.0}",0.39229134087734774,0.391817493552563,0.375695541537049
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.6}",0.3777740953219993,0.4155990447213396,0.38346560674128727
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.8}",0.398801581161173,0.41245649797169764,0.3905255538051361
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 0.9}",0.39904048451365093,0.431929371542663,0.39234076254875105
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 100, 'classifier__subsample': 1.0}",0.4031419003139141,0.41541990658108735,0.3921205263681892
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.6}",0.37931440167399344,0.3989897506381623,0.37870033354045934
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.8}",0.4034091347313577,0.41655984740586954,0.39247716370409136
XGBoost,StandardScaler,"{'classifier__colsample_bytree': 0.6, 'classifier__gamma': 0.5, 'classifier__learning_rate': 0.01, 'classifier__max_depth': 4, 'classifier__n_estimators': 200, 'classifier__subsample': 0.9}",0.4075068609045556,0.4218304146656212,0.3930432937472547
