Model,Scaler,Parameters,Mean Accuracy,Mean Recall,Mean Precision,Mean F1 Score
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.4926829268292683,0.5,0.24634146341463414,0.32991154886952806
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.4996515679442509,0.5,0.24982578397212546,0.33301192763694437
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.7588850174216029,0.7587075197341633,0.7606966379672516,0.7580678247824871
Logistic Regression,StandardScaler,"{'classifier__C': 0.001, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.7547038327526132,0.7547861290809676,0.7550504559813501,0.7542413522858022
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8494773519163763,0.8487093903162475,0.8497208888981944,0.84897827122566
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.8439024390243903,0.8425099913234794,0.8471451004558773,0.8428331528940335
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.8285714285714286,0.8290752780568343,0.8289307885444535,0.8283775804109202
Logistic Regression,StandardScaler,"{'classifier__C': 0.01, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.8306620209059232,0.8312894372644888,0.8309056378298039,0.8305035037408753
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.8662020905923346,0.8660516102297983,0.8662105789755559,0.8659143100262823
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.8668989547038327,0.8667807221838884,0.8668287030862378,0.8666236490907713
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.8738675958188153,0.8744762895243137,0.8739999981933408,0.8737361177017446
Logistic Regression,StandardScaler,"{'classifier__C': 0.1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.8738675958188153,0.8744762895243137,0.8739999981933408,0.8737361177017446
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.9463414634146341,0.9470007403557938,0.9463776729687592,0.9462852360423464
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.9010452961672474,0.9017780920282064,0.9014297126584321,0.9009397347766959
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.8975609756097562,0.8973737409113414,0.9004703572897519,0.8970523261045142
Logistic Regression,StandardScaler,"{'classifier__C': 1, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.8905923344947736,0.8903411125588814,0.8934027101857452,0.8900741921461492
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.9637630662020905,0.9643128023467069,0.9635283262485252,0.9637216549395484
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.896864111498258,0.8964263450839599,0.9015784986729523,0.8961154373979106
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.9317073170731707,0.931463472826867,0.9344398674830311,0.9313423446257223
Logistic Regression,StandardScaler,"{'classifier__C': 10, 'classifier__penalty': 'l2', 'classifier__solver': 'saga'}",0.8898954703832753,0.8891375775578348,0.8967226348230861,0.8886139310212113
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'liblinear'}",0.9616724738675959,0.9620291899587856,0.9617610737898875,0.961597948641681
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l1', 'classifier__solver': 'saga'}",0.8912891986062718,0.8905869290255659,0.8979420483083415,0.8900761684464582
Logistic Regression,StandardScaler,"{'classifier__C': 100, 'classifier__penalty': 'l2', 'classifier__solver': 'liblinear'}",0.9623693379790941,0.9629208640428921,0.9624259828258392,0.9623225511993884
