Step,Selected_Feature,Recall,Precision,F1_Score,Accuracy
1,A/D_Oscillator,0.8299031694697504,0.8306798048277872,0.8289367028224837,0.8299651567944251
2,Stochastic_K,0.8508916300841992,0.8527825522418244,0.8505788681507902,0.8515679442508711
3,RSI,0.8577404548361469,0.859349229024774,0.8575205018376042,0.8585365853658538
4,month,0.8609933596692038,0.8632211682292636,0.8609494496736263,0.8620209059233449
5,MACD_Signal,0.863486396363913,0.8641928574170453,0.8632686103741489,0.8641114982578397
6,Williams_R,0.8627456556231723,0.8636035553503583,0.8625450421636918,0.8634146341463416
7,day,0.861994710280156,0.8630516893160813,0.8618141600659579,0.8627177700348432
8,CCI,0.8635825315701302,0.8642231038461136,0.8632577662430625,0.8641114982578397
9,Stochastic_D,0.8623758219975418,0.8635391909205739,0.8618087089356496,0.8627177700348432
10,Volume,0.8649721772678142,0.8670901937739576,0.8645196371146273,0.8655052264808362
11,day_of_week,0.861488528005028,0.8630557624715554,0.8610928271597977,0.8620209059233449
12,MACD,0.8575170387759856,0.8592911999677855,0.8575324273989002,0.8585365853658538
13,Momentum,0.8567728066252895,0.8587627931454023,0.8567737432538397,0.8578397212543554
14,Open,0.8566959641847062,0.8601958571819299,0.8553689206266132,0.8564459930313589
15,Close,0.9160245840505393,0.9152116087427249,0.9152271040219568,0.9156794425087108
16,High,0.9288389854614589,0.9273621243683718,0.9278276903083322,0.9282229965156794
17,Low,0.9484911819787729,0.9471371242558038,0.94744552954895,0.9477351916376306
18,WMA,0.9506565960995292,0.9490385746146256,0.9495343197849897,0.9498257839721255
19,SMA,0.9503588060026068,0.9496171689039727,0.9494982712155959,0.9498257839721255
20,year,0.9443459442934451,0.9442686791613178,0.943842275037207,0.9442508710801393
